id_venda,id_cliente,id_produto,quantidade,valor_unit,data_venda,canal
1,1,1,2,1500.00,2026-06-01 09:15:00,online
2,2,3,1,89.90,2026-06-02 14:20:00,loja
3,3,5,3,45.50,2026-06-03 11:05:00,online
4,1,2,1,3200.00,2026-06-05 16:40:00,online
5,4,4,2,129.90,2026-06-06 10:10:00,loja
6,5,6,1,199.00,2026-06-07 08:30:00,app
7,2,7,1,2100.00,2026-06-08 19:25:00,online
8,6,8,4,29.90,2026-06-10 13:00:00,app
9,3,1,1,1500.00,2026-06-12 15:45:00,loja
10,7,3,2,89.90,2026-06-15 09:00:00,online
11,8,5,1,45.50,2026-06-18 17:30:00,online
12,1,6,2,199.00,2026-06-20 12:15:00,app
13,4,2,1,3200.00,2026-06-22 18:50:00,online
14,2,8,3,29.90,2026-06-25 10:40:00,loja
15,5,4,1,129.90,2026-06-28 14:05:00,app
16,6,7,1,2100.00,2026-07-01 09:30:00,online
17,3,4,2,129.90,2026-07-02 11:20:00,loja
18,7,1,1,1500.00,2026-07-03 16:00:00,online
19,8,6,3,199.00,2026-07-04 08:45:00,app
20,1,8,2,29.90,2026-07-05 19:10:00,online
